floor,rooms,sq,district,distance_to_nearest_metro,distance_to_pkin,living_condition_index,age_of_house,es_index,price
10.0,4.0,160.0,Śródmieście,0.24751479487484437,0.8726978421186736,0.7978755389787773,21,0.37125557570447604,1650000.0
2.0,4.0,68.7,Bielany,2.659047597145146,6.928293140576701,0.3415095453902453,43,0.7867070218041649,659000.0
2.0,4.0,91.63,Mokotów,2.65971305852401,5.872834038731932,0.6571623383620195,0,0.8026933517176775,1469300.0
2.0,1.0,30.0,Praga-Północ,0.6436788053225815,3.9494984290244877,0.4482260202507347,61,0.5625577623223872,380000.0
2.0,3.0,81.0,Włochy,0.43556449092625094,0.02832371015692246,0.4996636397779078,13,0.8317666768330618,920000.0
1.0,5.0,108.36,Mokotów,1.0822839892690403,4.542569584192088,0.7163502343328094,14,0.931121537780882,1404000.0
3.0,3.0,69.78,Ursynów,1.4395286488420724,8.062045365975104,0.5493775000621085,6,0.814197209335021,810000.0
5.0,2.0,50.7,Targówek,0.6682554815292581,5.980828169701148,0.5120073064929109,32,0.835907293252524,480000.0
10.0,3.0,74.37,Wola,2.4369012222455724,4.444779487863158,0.6940279120259548,0,0.6829946480344368,959373.0
9.0,1.0,30.5,Targówek,2.08392815018489,6.6774951127777715,0.5232586887665249,47,0.8090605132425829,315000.0
7.0,3.0,71.5,Praga-Południe,3.748066765377282,6.311707815802715,0.5105417324030648,34,0.8866742662072494,649000.0
10.0,1.0,31.0,Wola,0.9799938168491653,3.6818780835859277,0.7083424672941692,0,0.7926149739900658,360000.0
1.0,5.0,127.16,Wawer,10.714123472092924,15.979210183108009,0.3627630194352399,1,0.48306209259872346,629000.0
3.0,2.0,24.0,Ochota,2.283529009229309,3.173343998117241,0.6914349114971221,51,0.6645588628986286,328500.0
1.0,4.0,94.4,Ochota,0.43556449092625094,0.02832371015692246,0.6982688730326736,2,0.6710543522738545,1250000.0
7.0,2.0,48.94,Bielany,1.8993292310942762,8.109287374940221,0.3884409990503998,1,0.7429621209303526,745000.0
4.0,3.0,84.0,Wola,0.9471629210171523,3.217295376193289,0.6720952124950256,18,0.6795505306250521,849000.0
8.0,2.0,31.0,Mokotów,2.749428743651259,5.364560444554289,0.6708921370484121,41,0.7823482806663024,393000.0
5.0,2.0,52.89,Bielany,0.3322173921098312,5.664181961872523,0.3491462695559444,0,0.7526296035672853,676300.0
1.0,4.0,91.8,Wola,0.1566164850086975,3.560946574911859,0.6818475364912573,0,0.6808477555664101,898261.0
4.0,3.0,69.0,Praga-Południe,1.993290774867635,4.4745223113930574,0.550173359076965,51,0.8878720807169365,720000.0
1.0,3.0,93.2,Wilanów,2.729649993958965,8.794462069880195,0.3637494492658607,12,0.9407473674783992,1150000.0
6.0,2.0,71.6,Śródmieście,0.4689940785432357,0.9711601086366757,0.9181955806170985,17,0.4065871109299194,1299000.0
0.0,3.0,70.85,Żoliborz,0.15072636401499562,4.380564652329655,0.5453703715208956,5,0.8590427028168042,1150000.0
3.0,4.0,119.48,Wilanów,2.800071043188895,8.550567230454499,0.36513427557086015,13,0.8971749442984404,1550000.0
1.0,3.0,70.0,Wola,0.1566164850086975,3.560946574911859,0.6677293356303253,8,0.7391768239368693,1199000.0
10.0,3.0,56.0,Bielany,2.0807038805678673,6.669540142935532,0.3745157154857569,46,0.8131601159407232,599000.0
4.0,2.0,62.0,Śródmieście,0.6398053321160899,1.0768974736237868,0.9154305821130455,85,0.40809708550173796,1159000.0
2.0,2.0,33.33,Wola,1.3667004803591756,2.9104987868022043,0.7092592631591018,2,0.7458368052048847,538000.0
2.0,1.0,36.0,Targówek,0.48952380979391275,5.890539688344431,0.477312877788383,31,0.8952861137438715,330000.0
5.0,3.0,90.0,Mokotów,0.519195632103019,6.94425492588775,0.6933045504544971,0,0.9248174346698792,870000.0
0.0,4.0,69.51,Wawer,0.43556449092625094,0.02832371015692246,0.3598806195678409,1,0.5152555360688529,729000.0
4.0,2.0,46.1,Śródmieście,0.24680483544885537,0.26028604353423723,0.8535923534191775,55,0.40428126990517255,769000.0
1.0,3.0,49.5,Ursus,5.6888564564337445,8.763507057443178,0.28563734227157045,0,0.9292666992245892,409000.0
1.0,4.0,60.0,Targówek,0.6682554815292581,5.980828169701148,0.5111307449024882,41,0.8444473374250034,580000.0
5.0,2.0,59.59,Śródmieście,0.414896871047924,2.014052319954974,0.8425765638537848,90,0.3971606026072749,744000.0
1.0,2.0,38.6,Mokotów,2.4909011916369406,4.994823304914785,0.6266488041268884,1,0.8220790421452354,620000.0
5.0,5.0,144.0,Śródmieście,0.8192780957513497,1.2378728008709612,0.8486673080473555,109,0.3933964977362003,2400000.0
2.0,2.0,59.0,Śródmieście,0.6446333327969924,2.3148769298797722,0.8419468275392371,13,0.39792462009505775,1230000.0
1.0,3.0,52.68,Praga-Południe,1.993290774867635,4.4745223113930574,0.510804484110559,0,0.8837787804951832,590016.0
4.0,1.0,36.84,Ochota,1.9769209597399962,3.986577757424214,0.7136661785218144,3,0.6839552270368104,680000.0
0.0,3.0,61.19,Żoliborz,1.7277364776456925,4.09447993776132,0.610627331753051,6,0.8338377630233171,915000.0
4.0,1.0,31.0,Wola,0.8403643677033811,3.8988929192346458,0.650185296786594,70,0.7895130686288039,429000.0
